state,count
NY,8260167
NJ,968826
PA,259174
CT,145150
FL,138645
MA,99113
IN,81141
VA,75092
MD,60239
NC,55627
99,41585
IL,37222
GA,35300
TX,32634
AZ,26603
ME,24277
OH,23783
CA,23531
OK,21782
SC,21203
TN,18872
MI,17350
DE,15814
MN,15481
RI,13179
NH,9624
AL,7768
WA,6941
VT,6772
OR,6549
ON,5560
QB,5038
WI,4564
ID,4563
KY,4474
IA,4324
DC,4284
MS,4106
DP,4074
CO,3950
MO,3840
NM,3262
AR,3193
LA,3110
WV,2748
NV,2436
SD,2050
NE,1723
UT,1468
KS,1423
NS,1376
GV,1366
AK,939
MT,901
ND,706
HI,569
WY,347
AB,276
PR,223
BC,162
NB,139
PE,123
MB,32
SK,18
FO,13
MX,11
YT,5
NT,2
