hour,min,count
08,36,30688
11,36,30288
11,40,28297
09,36,26267
08,40,25891
11,38,25674
09,06,25633
09,40,25485
11,45,25461
11,39,25388
11,37,24926
08,06,24790
11,42,24640
11,41,24302
09,45,24101
08,38,24037
11,43,23657
11,50,23597
08,45,23573
08,39,23551
09,38,23285
08,37,23130
09,10,23126
11,44,22975
09,39,22939
09,37,22878
08,41,22828
09,41,22701
08,42,22655
11,46,22522
11,06,22436
09,42,22374
09,50,22074
11,47,21996
09,43,21892
08,43,21744
11,48,21659
09,07,21585
11,10,21543
09,08,21436
08,50,21428
09,15,21356
09,09,21274
08,44,21093
09,44,21031
09,47,20976
11,49,20949
08,47,20841
09,46,20806
08,46,20761
09,48,20607
09,11,20543
09,12,20313
11,55,20294
10,00,20278
11,08,20265
08,10,20228
11,15,20210
11,51,20160
09,13,20021
11,09,19968
11,52,19945
08,48,19934
12,00,19806
09,51,19756
09,55,19726
09,49,19723
11,07,19665
11,12,19557
09,20,19459
08,07,19394
09,14,19314
11,11,19306
11,54,19258
13,15,19123
08,08,19115
10,10,19083
13,10,19063
08,49,19062
09,53,19049
11,53,19037
10,15,19007
10,06,18959
09,52,18952
12,10,18860
11,20,18848
08,51,18810
10,05,18781
09,17,18773
09,16,18762
11,13,18731
13,20,18578
12,05,18556
08,15,18543
08,55,18502
13,30,18497
09,18,18433
11,16,18347
08,09,18326
11,14,18297
13,00,18282
13,06,18271
11,56,18247
13,09,18238
13,12,18211
11,58,18188
10,07,18167
12,06,18138
09,54,18137
12,15,18107
13,13,18103
13,05,18094
11,57,18087
13,08,18083
13,18,18059
13,25,18026
13,07,18010
11,17,17989
13,35,17968
13,16,17947
08,52,17946
09,57,17927
13,17,17926
13,14,17890
10,09,17859
09,19,17840
11,18,17778
13,03,17770
13,11,17767
09,30,17761
10,08,17753
08,11,17749
13,24,17741
13,40,17730
12,01,17729
09,00,17724
10,12,17720
13,22,17709
08,53,17693
13,21,17686
13,04,17681
10,20,17672
10,11,17636
08,12,17551
13,28,17542
13,36,17542
13,19,17541
12,02,17537
13,27,17521
12,08,17512
09,56,17496
12,07,17471
09,25,17456
13,23,17449
13,02,17434
13,31,17427
13,33,17359
13,26,17332
09,21,17309
13,45,17298
10,30,17293
13,29,17268
12,20,17215
12,09,17210
12,12,17191
10,03,17185
13,34,17182
11,30,17157
11,59,17150
12,03,17146
13,32,17145
10,01,17120
08,54,17117
09,58,17104
07,36,17101
11,25,17095
13,37,17020
13,50,16974
10,02,16967
11,19,16964
13,01,16948
12,04,16938
14,00,16937
09,23,16927
10,40,16912
09,22,16904
13,38,16892
10,25,16881
11,21,16867
08,20,16849
10,13,16841
13,48,16839
09,35,16822
13,39,16808
10,18,16788
13,42,16772
09,59,16755
12,11,16728
08,13,16716
10,04,16678
11,22,16649
10,17,16645
13,46,16618
14,10,16608
10,16,16604
12,13,16590
12,50,16583
10,14,16565
10,45,16540
13,44,16533
13,41,16519
13,47,16497
12,30,16464
14,15,16464
12,14,16461
13,55,16385
12,40,16382
12,55,16354
13,43,16342
08,14,16309
09,24,16277
12,16,16233
14,06,16217
13,51,16216
14,05,16203
13,49,16195
12,18,16190
10,21,16178
13,52,16175
13,53,16170
11,23,16167
13,54,16157
12,45,16134
08,57,16098
11,24,16085
10,22,16083
12,52,16082
14,20,16079
09,27,16075
10,19,16034
12,57,16033
12,58,16025
10,50,16002
12,25,15983
12,54,15978
11,35,15977
12,51,15958
10,35,15946
12,48,15925
12,53,15897
14,08,15895
14,12,15892
08,56,15890
12,17,15867
10,23,15828
14,07,15824
09,26,15823
11,00,15813
12,56,15776
08,16,15774
12,21,15773
09,05,15762
13,56,15713
12,35,15696
14,09,15685
12,59,15659
14,02,15641
13,57,15635
14,03,15634
12,22,15634
10,36,15628
14,01,15618
12,42,15617
09,28,15612
12,19,15609
13,58,15609
10,24,15594
12,46,15582
14,11,15538
14,04,15513
14,30,15475
12,49,15461
14,16,15457
11,26,15454
14,13,15433
08,17,15429
