hour,min,count
19,18,17540
19,12,17527
19,15,17438
19,10,17435
19,17,17395
19,09,17322
19,14,17290
19,16,17243
18,44,17241
19,20,17232
19,13,17219
19,08,17212
19,19,17212
19,11,17173
19,24,17169
19,07,17146
19,21,17090
19,22,17072
19,05,17059
19,06,17050
18,45,17018
19,23,16989
19,25,16974
19,43,16973
18,49,16973
19,27,16952
18,48,16934
18,43,16918
19,26,16904
19,28,16901
18,54,16870
18,38,16862
19,47,16850
18,42,16842
18,39,16838
19,02,16835
18,47,16810
19,29,16802
19,04,16785
19,38,16781
18,41,16773
18,53,16766
19,01,16764
19,46,16758
19,03,16756
19,36,16745
19,31,16720
18,40,16710
19,33,16707
19,48,16699
18,55,16695
18,50,16691
19,45,16682
19,41,16680
18,52,16661
18,58,16635
18,23,16632
19,39,16625
19,40,16625
19,34,16606
18,46,16603
18,20,16595
18,37,16586
18,25,16577
19,32,16576
18,51,16570
19,00,16568
19,51,16558
18,35,16554
19,30,16545
20,12,16543
18,16,16540
18,32,16535
18,28,16534
18,19,16533
19,35,16529
19,44,16525
18,57,16516
18,15,16516
18,36,16499
18,21,16498
18,56,16494
20,15,16493
18,22,16443
18,30,16431
20,11,16430
19,42,16418
20,14,16418
18,09,16404
18,59,16403
18,18,16394
18,11,16389
19,37,16377
20,18,16370
18,14,16370
19,50,16362
19,49,16325
18,33,16319
18,17,16314
19,53,16298
20,03,16283
18,13,16271
18,26,16270
20,09,16268
18,34,16253
18,29,16243
20,10,16238
20,16,16236
18,12,16235
20,13,16233
18,08,16232
20,17,16227
20,21,16227
18,27,16225
19,52,16207
18,31,16204
20,07,16168
18,10,16166
19,56,16158
20,05,16155
20,19,16150
18,06,16146
18,24,16115
20,20,16115
18,05,16115
18,07,16106
19,54,16105
19,55,16086
22,08,16059
21,14,16043
20,08,16036
19,59,16034
20,01,16015
21,10,16010
20,00,16006
20,24,16000
22,09,15990
20,26,15977
20,06,15973
20,22,15958
20,23,15947
21,07,15936
19,58,15934
21,06,15926
19,57,15922
20,02,15903
21,09,15889
20,27,15865
21,11,15855
21,12,15844
20,31,15834
21,05,15823
21,04,15820
20,04,15817
22,05,15812
22,06,15806
22,03,15806
